WorkerID,Kaynak yetkinliði,Spiral taþ motoru kullaným,Tavan vinci kullanýmý,Teknik resim okuma,iþçi numarasý
246,4.1,4.1,3.8,4.0,5.0
301,2.7,4.2,3.8,4.3,1.0
302,4.3,3.9,3.9,4.3,1.9
303,4.4,3.7,4.3,3.6,3.0
304,4.2,3.7,3.8,4.3,4.3
305,3.0,4.2,4.0,4.3,5.0
306,2.9,4.0,3.8,4.4,5.0
307,3.2,4.1,4.3,3.6,5.0
308,3.0,4.2,4.1,4.3,5.0
309,2.7,4.4,4.3,3.7,5.0
310,1.9,4.4,2.0,3.0,5.0
311,1.8,3.7,1.9,2.1,5.0
312,4.0,3.8,4.1,4.0,5.0
313,2.1,3.7,2.2,2.0,5.0
314,3.3,4.3,4.1,4.2,5.0
315,2.2,3.7,1.8,1.9,5.0
316,2.0,4.2,2.2,2.0,5.0
317,2.0,1.8,1.8,2.1,5.0
318,1.9,1.9,2.0,2.2,5.0
319,1.9,1.9,2.1,2.0,5.0
320,2.2,1.8,2.1,2.1,5.0
321,2.1,2.2,1.9,2.0,5.0
322,3.9,4.0,4.2,3.9,5.0
323,4.0,4.4,3.6,4.1,5.0
324,4.2,3.8,4.1,3.6,5.0
325,3.8,4.1,4.2,4.1,5.0
326,4.0,3.6,4.4,4.3,5.0
327,4.4,4.3,4.3,4.1,5.0
328,3.7,4.0,4.0,3.9,5.0
329,4.1,3.8,4.2,4.2,5.0
330,3.8,3.8,3.7,3.7,5.0
331,3.9,4.1,3.7,3.7,5.0
332,2.8,4.0,1.8,4.0,5.0
333,3.8,3.6,4.0,4.0,5.0
334,3.3,4.1,1.9,4.0,5.0
335,4.2,4.2,4.2,4.0,5.0
336,4.1,4.1,3.7,4.2,5.0
337,2.7,4.3,3.6,3.9,5.0
338,2.8,4.1,2.0,4.4,5.0
339,3.2,3.9,4.0,4.4,5.0
340,3.7,3.6,3.8,3.7,5.0
341,1.9,2.0,2.2,1.8,5.0
342,2.0,2.2,2.0,2.2,5.0
343,2.8,3.9,2.2,3.6,5.0
344,3.0,4.2,2.2,4.3,5.0
345,3.9,3.8,3.9,4.2,5.0
346,4.2,3.8,4.0,4.0,5.0
401,2.1,2.2,2.1,2.7,1.0
402,2.1,2.2,2.3,2.1,1.0
403,2.4,2.3,2.0,2.7,1.7
404,2.5,2.4,2.4,2.7,2.6
405,1.9,2.3,2.7,2.8,3.3
406,1.9,2.6,2.8,2.7,3.3
407,1.6,2.6,2.4,2.1,4.0
408,1.8,2.8,2.1,2.6,5.0
409,1.6,2.7,2.6,2.3,5.0
410,1.2,2.5,1.2,2.0,5.0
411,1.1,2.6,1.1,1.1,5.0
412,2.5,2.5,2.6,2.5,5.0
413,1.0,2.3,1.3,1.2,5.0
414,1.6,2.8,2.3,2.2,5.0
415,1.1,2.3,1.0,1.1,5.0
416,1.3,2.2,1.0,1.3,5.0
417,1.0,1.1,1.4,1.4,5.0
418,1.3,1.3,1.3,1.2,5.0
419,1.2,1.4,1.4,1.0,5.0
420,1.2,1.1,1.2,1.3,5.0
421,1.2,1.4,1.3,1.3,5.0
422,2.3,2.2,2.2,2.1,5.0
423,2.3,2.1,2.2,2.1,5.0
424,2.3,2.8,2.1,2.3,5.0
425,2.2,2.0,2.7,2.0,5.0
426,2.2,2.6,2.5,2.3,5.0
427,2.0,2.2,2.2,2.1,5.0
428,2.1,2.3,2.5,2.0,5.0
429,2.1,2.2,2.2,2.2,5.0
430,2.4,2.5,2.0,2.4,5.0
431,2.4,2.6,2.1,2.5,5.0
432,1.9,2.5,1.1,2.4,5.0
433,2.2,2.5,2.6,2.1,5.0
434,2.1,2.5,1.2,2.8,5.0
435,2.5,2.4,2.2,2.4,5.0
436,2.6,2.1,2.6,2.6,5.0
437,1.9,2.3,2.2,2.3,5.0
438,2.0,2.7,1.1,2.7,5.0
439,2.0,2.5,2.1,2.1,5.0
440,2.2,2.1,2.6,2.6,5.0
441,1.3,1.0,1.1,1.3,5.0
442,1.3,1.2,1.3,1.2,5.0
443,1.7,2.4,1.2,2.3,5.0
444,1.8,2.6,1.2,2.3,5.0
445,2.7,2.7,2.4,2.4,5.0
446,2.7,2.0,2.0,2.6,5.0
